              Tau = 0.25                    Tau = 1
 t     e_40       e_80       p_80    e_40       e_80       p_80
0.2  1.954E-05  6.513E-07    4.91  4.940E-03  2.792E-03    0.82
0.4  4.151E-07  1.258E-07    1.72  1.344E-03  1.060E-03    0.34
0.6  9.456E-09  1.612E-09    2.55  7.211E-04  3.211E-04    1.17
0.8  7.712E-10  2.510E-11    4.94  6.373E-05  2.477E-05    1.36
1.0  4.394E-10  1.504E-12    8.19  6.359E-05  3.183E-05    1.00
1.2  4.342E-10  2.195E-14   14.27  2.678E-05  3.323E-06    3.01
1.4  1.454E-09  1.832E-15   19.60  8.530E-07  2.766E-06   -1.70
1.6  2.700E-09  4.163E-16   22.63  4.399E-06  8.962E-07    2.30
1.8  4.220E-09  4.441E-16   23.18  1.281E-06  1.798E-07    2.83
2.0  6.075E-09  5.829E-16   23.31  3.676E-07  1.596E-07    1.20
3.0  2.355E-08  2.318E-15   23.28  3.466E-09  1.814E-09    0.93
4.0  7.010E-08  6.994E-15   23.26  6.142E-10  3.219E-11    4.25
