begin{tabular*}[rrr]
  Cores              &Sayers Lab                     &Mio \\ 
    2.0    &0.047923297551072164    &0.053191001929236759 \\ 
    4.0     &0.03885371628253953    &0.044752372896321647 \\ 
    8.0   &0.0052089514409975812    &0.034367025567564609 \\ 
   16.0    &0.010345804508339492    &0.011343930518085162 \\ 
   32.0     &0.01102299598743091   &0.0046204722317963586 \\ 
   64.0   &0.0076830559693734967   &0.0039551114498611187 \\ 
  128.0                     &N/A   &0.0016818543519778373 \\ 
  256.0                     &N/A   &0.0034556341402023306 \\ 
  512.0                     &N/A   &0.0083787958735268026 \\ 
end{tabular*}
