begin{tabular*}[rrr]
  Cores              &Sayers Lab                     &Mio \\ 
    1.0                     &1.0                     &1.0 \\ 
    2.0      &1.9085366311388137       &1.898990777870678 \\ 
    4.0      &3.5824280686537624      &3.5265372675142777 \\ 
    8.0       &7.718560743257858      &6.4486528728878092 \\ 
   16.0      &13.850570568534692      &13.673355994705298 \\ 
   32.0      &23.850110244669814      &27.990754393860239 \\ 
   64.0      &43.125739413179367      &51.233936484810521 \\ 
  128.0                     &N/A      &105.47171583538449 \\ 
  256.0                     &N/A      &136.08431274646915 \\ 
  512.0                     &N/A      &96.940969185966352 \\ 
end{tabular*}
