 t     e_10       e_20       p_20    e_40       p_40    e_80       p_80
0.2  4.146E-01  4.323E-01   -0.06  1.785E+00   -2.05  1.789E+00   -0.00
0.4  6.418E-01  6.681E-01   -0.06  6.677E-01    0.00  1.163E+00   -0.80
0.6  6.779E-01  3.063E+00   -2.18  6.852E-01    2.16  7.594E-01   -0.15
0.8  6.577E-01  3.063E+00   -2.22  6.580E-01    2.22  7.484E-01   -0.19
1.0  6.146E-01  3.063E+00   -2.32  6.198E-01    2.31  7.945E-01   -0.36
1.2  5.711E-01  3.063E+00   -2.42  5.816E-01    2.40  8.018E-01   -0.46
1.4  5.303E-01  3.063E+00   -2.53  5.389E-01    2.51  7.840E-01   -0.54
1.6  4.834E-01  3.063E+00   -2.66  4.906E-01    2.64  7.518E-01   -0.62
1.8  4.347E-01  3.063E+00   -2.82  4.408E-01    2.80  7.126E-01   -0.69
2.0  3.868E-01  3.063E+00   -2.99  3.920E-01    2.97  6.712E-01   -0.78
3.0  1.939E-01  3.063E+00   -3.98  3.508E-01    3.13  4.976E-01   -0.50
4.0  8.968E-02  3.063E+00   -5.09  3.508E-01    3.13  4.028E-01   -0.20
